DBG:..\SRC\or_mw.c:85:proc_read_fifo(): Read FIFO Size=2056 from address 0x10000
DBG:..\SRC\or_mw.c:570:or_ez_IQ_mode(): Frame Interval=6822ms
40 01 02 00 FF 20 FE 73 FD 96 FE B3 FE BE 00 6F 
01 4D FD F1 FE 65 FE 5F FD 3F FE 06 FE A4 00 7B 
00 DB FD 6B FD D7 FE 8F FC F1 FD 9C FE 8C 00 85 
00 58 FD 56 FD 9A FE E5 FC B0 FD 5E FE 82 00 81 
frameEnd FIFO Pos=2052
Rx channel: 0xF
Chirp number: 1
Chirp points: 128
Bandwidth_MHz: 6800
Chirp time_us: 55
FS_IQ_KHz: 2500.000000
IQ_DATA_START==================================
Chrip_01==================================
RX1==============================================
-224,-397
-411,-417
-553,-369
-614,-283
-655,-189
-690,-92
-700,28
-647,192
-553,340
-442,437
-291,520
-158,571
-41,624
75,662
197,674
361,686
519,646
638,584
773,513
948,437
1074,332
1176,178
1239,-11
1257,-168
1248,-319
1229,-478
1192,-684
1075,-878
925,-996
775,-1062
623,-1145
461,-1212
261,-1241
71,-1251
-114,-1192
-267,-1078
-371,-973
-461,-876
-516,-753
-584,-655
-628,-541
-624,-406
-633,-326
-667,-214
-719,-19
-711,236
-600,486
-332,718
7,870
350,936
718,925
1098,851
1504,652
1848,318
2058,-114
2156,-559
2134,-1032
2048,-1539
1830,-2013
1492,-2435
1037,-2771
535,-2981
60,-3091
-432,-3091
-881,-3008
-1277,-2819
-1625,-2590
-1888,-2380
-2113,-2130
-2271,-1839
-2374,-1609
-2525,-1425
-2736,-1204
-2907,-882
-2983,-513
-3011,-149
-3033,247
-2965,709
-2751,1183
-2445,1586
-2100,1906
-1673,2184
-1208,2365
-726,2464
-208,2533
333,2470
796,2260
1195,1991
1598,1647
1943,1164
2139,562
2120,-76
1884,-679
1528,-1223
1023,-1668
376,-1954
-269,-2045
-926,-1938
-1534,-1631
-1975,-1154
-2177,-566
-2228,-3
-2193,501
-2021,967
-1749,1376
-1394,1727
-985,1958
-624,2049
-316,2082
-52,2095
222,2113
520,2125
803,2068
1023,2005
1242,1982
1494,1995
1834,1938
2201,1773
2535,1496
2789,1158
2998,815
3206,417
3332,-81
3315,-665
3098,-1241
2781,-1715
2410,-2119
1970,-2468
RX2==============================================
-618,-333
-705,-506
-783,-612
-848,-674
-910,-682
-1018,-671
-1156,-653
-1244,-582
-1309,-456
-1392,-352
-1411,-252
-1432,-105
-1429,26
-1439,130
-1383,241
-1314,359
-1259,463
-1167,518
-1085,593
-975,666
-891,723
-779,759
-650,758
-505,726
-385,699
-265,625
-152,554
-65,425
-1,281
35,153
51,-30
0,-216
-91,-366
-201,-489
-319,-611
-463,-722
-668,-763
-910,-729
-1086,-708
-1261,-657
-1422,-563
-1599,-469
-1814,-375
-2045,-227
-2280,47
-2405,403
-2472,775
-2493,1169
-2440,1659
-2236,2146
-1831,2586
-1314,2908
-740,3029
-244,3022
209,2976
730,2888
1278,2654
1743,2187
2021,1632
2138,1125
2112,749
2051,390
1959,28
1800,-302
1533,-584
1227,-709
1075,-704
996,-762
880,-900
683,-1023
499,-1066
348,-1113
117,-1208
-129,-1225
-425,-1198
-767,-1079
-1078,-790
-1300,-404
-1335,27
-1260,463
-1107,877
-810,1275
-401,1589
87,1800
626,1884
1202,1831
1795,1602
2292,1254
2796,807
3273,208
3581,-512
3672,-1326
3610,-2222
3314,-3114
2735,-3925
2021,-4544
1201,-4981
263,-5263
-681,-5295
-1589,-5055
-2312,-4636
-2891,-4167
-3326,-3625
-3613,-3072
-3780,-2564
-3909,-2086
-3993,-1638
-3969,-1273
-3938,-934
-3958,-587
-3950,-225
-3923,117
-3908,492
-3823,930
-3626,1458
-3255,1944
-2757,2311
-2205,2549
-1619,2657
-1006,2674
-361,2513
197,2134
576,1615
745,1070
826,565
849,36
713,-515
383,-1001
RX3==============================================
-322,111
-348,123
-372,133
-382,129
-439,119
-493,150
-569,202
-599,268
-573,329
-582,397
-600,452
-589,484
-561,555
-514,653
-436,684
-390,688
-364,725
-300,782
-218,819
-123,811
-5,808
82,766
159,713
292,709
382,660
493,558
561,414
573,279
600,110
602,-29
566,-159
545,-344
426,-500
265,-641
104,-695
-35,-690
-168,-693
-287,-695
-426,-671
-543,-562
-632,-480
-663,-469
-716,-444
-852,-461
-1049,-389
-1226,-236
-1380,-33
-1450,209
-1465,461
-1444,768
-1332,1119
-1060,1435
-681,1665
-197,1820
287,1830
741,1701
1139,1455
1500,1105
1768,658
1865,98
1787,-445
1576,-884
1266,-1202
934,-1436
645,-1586
339,-1708
8,-1757
-262,-1693
-421,-1588
-502,-1564
-631,-1694
-880,-1802
-1189,-1850
-1562,-1863
-1960,-1813
-2410,-1675
-2939,-1394
-3380,-921
-3667,-248
-3744,468
-3590,1159
-3301,1753
-2894,2335
-2303,2827
-1653,3157
-972,3329
-309,3357
338,3272
1008,3125
1630,2792
2189,2319
2585,1726
2833,1010
2876,269
2725,-450
2449,-1107
1953,-1653
1345,-2098
697,-2353
10,-2397
-570,-2275
-1057,-2021
-1427,-1741
-1679,-1436
-1866,-1056
-1955,-667
-1897,-353
-1836,-167
-1809,9
-1723,195
-1697,355
-1700,533
-1664,712
-1620,919
-1560,1184
-1400,1459
-1081,1735
-694,1937
-256,2046
203,2024
668,1904
1132,1669
1474,1276
1738,808
1857,277
1863,-257
1751,-798
1494,-1361
RX4==============================================
333,-527
219,-661
88,-682
-21,-661
-89,-579
-133,-462
-143,-351
-140,-213
-151,-66
-94,86
-1,198
108,245
196,311
278,373
370,420
485,445
606,428
722,357
792,308
835,289
901,264
1022,211
1097,113
1132,41
1155,-52
1193,-154
1233,-262
1262,-452
1224,-653
1103,-807
958,-906
835,-980
695,-1041
507,-1069
295,-1042
106,-926
8,-769
-45,-640
-94,-554
-124,-464
-177,-363
-223,-222
-227,-116
-250,-13
-289,104
-310,320
-266,561
-150,780
19,1007
274,1219
596,1305
946,1311
1291,1237
1615,1122
1956,894
2231,542
2416,114
2501,-347
2457,-819
2292,-1277
2006,-1693
1639,-2003
1235,-2217
827,-2289
475,-2245
129,-2163
-194,-2061
-473,-1866
-669,-1630
-798,-1429
-936,-1274
-1078,-1097
-1215,-859
-1322,-590
-1404,-314
-1451,-2
-1444,353
-1367,731
-1204,1130
-947,1552
-552,1851
-112,2031
314,2119
765,2168
1285,2130
1808,1921
2244,1575
2596,1133
2859,595
3019,27
3052,-620
2932,-1260
2692,-1918
2287,-2493
1749,-2929
1158,-3234
519,-3381
-148,-3382
-821,-3256
-1423,-2957
-1938,-2499
-2302,-1930
-2481,-1315
-2548,-736
-2550,-203
-2438,363
-2208,883
-1877,1280
-1509,1552
-1199,1741
-874,1919
-546,2072
-211,2192
180,2243
546,2197
902,2141
1291,2050
1656,1877
1995,1627
2285,1261
2541,802
2650,291
2637,-205
2577,-665
2415,-1119
2144,-1591
1758,-1994
1296,-2290
IQ_DATA_END=============================================
